URL,Title,Location,Price,District,Area,Bedrooms,Bathrooms
https://aqarmap.com.eg/en/listing/6879958-for-rent-cairo-new-cairo-compounds-lakeview-residence/,Apartment for rent with lake view in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","65,000 EGP/month",Lake View Residence - El Hazek,130 m²,2 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6878780-for-rent-cairo-new-cairo-el-ahyaa-fifth-neighborhood-street-21/,Apartment For rent in Street 21 in Street 21 . Aqarmap,"New Cairo - 5th Settlement
/
Street 21","30,000 EGP/month",Street 21,300 m²,4 rooms,3 bathroom
https://aqarmap.com.eg/en/listing/6878233-for-rent-cairo-new-cairo-compounds-lakeview-residence/,Apartment View Lake 3BR for rent in lake view residence in Lake View Residence - El Hazek . Aqarmap,"New Cairo - 5th Settlement
/
Lake View Residence - El Hazek","80,000 EGP/month",Lake View Residence - El Hazek,210 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6877958-for-rent-cairo-new-cairo-el-narges-el-narges-3-abd-el-rahman-ouda-st/,سكني For rent in Abd El Rahman Ouda St. in Abd El Rahman Ouda St. . Aqarmap,"New Cairo - 5th Settlement
/
Abd El Rahman Ouda St.","50,000 EGP/month",Abd El Rahman Ouda St.,220 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6646079-for-rent-cairo-el-sheikh-zayed-city-compounds-hadayek-el-mohandiseen/,Apartment For rent in Hadayek El Mohandiseen in Hadayek El Mohandiseen . Aqarmap,"El Sheikh Zayed
/
Hadayek El Mohandiseen","20,000 EGP/month",Hadayek El Mohandiseen,130 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6867901-for-rent-cairo-new-cairo-el-narges-el-narges-2-pilot-halawany-st/,سكني For rent in PILOT HALAWANY St. in PILOT HALAWANY St. . Aqarmap,"New Cairo - 5th Settlement
/
PILOT HALAWANY St.","40,000 EGP/month",PILOT HALAWANY St.,240 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6707714-for-rent-cairo-hadayek-el-ahram-area-f/,Apartment For rent in Area F in Area F . Aqarmap,"Hadayek El Ahram
/
Area F","10,500 EGP/month",Area F,170 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6866665-for-rent-cairo-new-cairo-hy-skn-ljm-lmryky/,استوديو للايجار المفروش في اسكان الجامعه in American University Housing District . Aqarmap,"New Cairo - 5th Settlement
/
American University Housing District","22,000 EGP/month",American University Housing District,80 m²,1 rooms,1 bathroom
https://aqarmap.com.eg/en/listing/6808012-for-rent-cairo-new-cairo-compounds-el-patio-oro/,"Apartment for rent in El Patio Oro ,prime location in El Patio Oro Compound - La Vista . Aqarmap","New Cairo - 5th Settlement
/
El Patio Oro Compound - La Vista","35,000 EGP/month",El Patio Oro Compound - La Vista,171 m²,3 rooms,2 bathroom
https://aqarmap.com.eg/en/listing/6742807-for-rent-cairo-6th-of-october-compounds-october-plaza/,Apartment For rent in October Plaza Compound - Sodic in October Plaza Compound - Sodic . Aqarmap,"6th of October
/
October Plaza Compound - Sodic","30,000 EGP/month",October Plaza Compound - Sodic,205 m²,3 rooms,2 bathroom
